# Name | Kategorie | Kurztext | Erklärung (Absätze mit \n\n)
/clear|Sitzung|Leert die Terminalansicht und beginnt ein neues Gespräch.|Mit /clear räumst du die sichtbare Terminalansicht auf und startest gleichzeitig ein neues Gespräch in derselben CLI-Sitzung. Der bisherige Gesprächskontext gehört nicht zum neuen Chat.\n\nMit /clear Planung kannst du dem neuen Gespräch gleich einen Namen geben. Wenn du lediglich die Ansicht aufräumen willst, erhält Strg+L das aktuelle Gespräch. Während Codex arbeitet, ist /clear nicht verfügbar.
/rename|Sitzung|Gibt dem aktuellen Gespräch einen anderen Namen.|Ein sinnvoller Name hilft dir, ein Gespräch später wiederzufinden. Mit /rename öffnest du die Namenseingabe; mit /rename Anmeldung reparieren kannst du den Namen direkt angeben.\n\nDer Gesprächsinhalt bleibt dabei erhalten. In neueren Versionen kann Codex einen passenden Namen aus dem Gespräch vorschlagen. Du kannst diesen Vorschlag bearbeiten.
/archive|Sitzung|Archiviert das Gespräch und beendet die CLI.|Mit /archive legst du das aktuelle Gespräch nach einer Bestätigung ins Archiv und beendest die Terminaloberfläche. Der Verlauf bleibt lokal gespeichert.\n\nZum Wiederherstellen gibt es im normalen Terminal codex unarchive mit der Sitzungskennung. Archivieren eignet sich für erledigte Aufgaben, deren Verlauf du behalten möchtest. Während einer laufenden Aufgabe ist der Slash-Befehl nicht verfügbar.
/delete|Sitzung|Löscht das aktuelle Gespräch endgültig und beendet die CLI.|Mit /delete kannst du das aktuelle Gespräch nach Bestätigung dauerhaft entfernen. Dabei werden auch daraus erzeugte untergeordnete Sitzungen gelöscht. Anschließend endet die Terminaloberfläche.\n\nWenn du den Verlauf später noch benötigen könntest, eignet sich /archive besser. /delete ist während eines laufenden Chats und innerhalb eines Nebengesprächs nicht verfügbar. Das Löschen lässt sich nicht wie Archivieren zurücknehmen.
/compact|Kontext|Fasst den Gesprächskontext platzsparend zusammen.|Je länger ein Gespräch wird, desto mehr Platz benötigen seine bisherigen Nachrichten im Kontext des Modells. Mit /compact lässt du frühere Teile zusammenfassen, damit mehr Platz für die weitere Arbeit bleibt.\n\nDie Zusammenfassung soll die wesentlichen Informationen erhalten. Sie ersetzt aber keine vollständige Projektdokumentation. Schreibe genaue Anforderungen und wichtige Entscheidungen zusätzlich in Dateien, wenn sie dauerhaft unverändert benötigt werden.
/copy|Darstellung und Bedienung|Kopiert eine fertige Antwort oder einen Teil davon.|Mit /copy übernimmst du die zuletzt abgeschlossene Codex-Ausgabe in die Zwischenablage. Läuft gerade eine neue Antwort, ist die vorherige abgeschlossene Ausgabe maßgeblich.\n\nNeuere Versionen bieten auch eine Auswahl zwischen ganzer Antwort, Codeblöcken und Zitaten. Vor der ersten fertigen Antwort gibt es nichts zu kopieren. In der Hauptansicht ist außerdem Strg+O als Kopierkürzel dokumentiert.
/diff|Code und Projekt|Zeigt die Änderungen an den Projektdateien.|Mit /diff öffnest du die Git-Unterschiede deiner Arbeitskopie. Du siehst bearbeitete Stellen und auch Dateien, die Git noch nicht verfolgt.\n\nDas hilft dir, nach einer Umsetzung genau nachzuvollziehen, was geändert wurde. Der Befehl bewertet den Code nicht automatisch und erstellt keinen Commit. Für eine inhaltliche Beurteilung kannst du zusätzlich /review verwenden.
/exit|Sitzung|Beendet die Codex CLI.|Mit /exit verlässt du die laufende Codex CLI. Der Befehl hat dieselbe Funktion wie /quit.\n\nSpeichere oder committe wichtige Arbeit vorher. Ein Beenden des Programms erzeugt keinen Git-Commit und veröffentlicht keine Änderungen. Verwende /new, wenn du nur ein neues Gespräch beginnen und im Programm bleiben möchtest.
/experimental|Erweiterungen|Öffnet die Auswahl experimenteller Funktionen.|Mit /experimental kannst du verfügbare experimentelle Funktionen ein- oder ausschalten. Welche Schalter angeboten werden, hängt von der installierten Codex-Version ab.\n\nDie Auswahl wird in der Konfiguration gespeichert. Manche Änderungen benötigen einen Neustart; folge dann dem angezeigten Hinweis. Experimentelle Funktionen können sich zwischen Versionen verändern.
/approve|Berechtigungen|Erlaubt einen erneuten Versuch nach einer automatischen Ablehnung.|Wenn die automatische Prüfung eine konkrete Aktion abgelehnt hat, kannst du mit /approve einen erneuten Versuch anstoßen. Codex zeigt dir die betreffende Aktion zur Bestätigung.\n\nDie Freigabe betrifft einen erneuten Versuch dieser Aktion unter den geltenden Sitzungsregeln. Sie schaltet nicht pauschal alle Sicherheitsregeln aus. Für allgemeine Berechtigungen ist /permissions zuständig.
/memories|Kontext|Steuert das Verwenden und Erzeugen von Erinnerungen.|Erinnerungen können Informationen über mehrere Sitzungen hinweg verfügbar machen. Mit /memories wählst du, ob Codex vorhandene Erinnerungen verwenden und neue erzeugen soll.\n\nDu kannst diese Funktionen auch deaktivieren. Die Auswahl verändert die entsprechenden Einstellungen für künftige Sitzungen. Verwechsle Erinnerungen nicht mit dem vollständigen Verlauf eines einzelnen Chats.
/skills|Erweiterungen|Öffnet die Auswahl aufgabenspezifischer Anleitungen.|Ein Skill ist eine Anleitung für eine bestimmte Art von Aufgabe. Mit /skills kannst du verfügbare Skills durchsehen und einen passenden auswählen.\n\nDie Auswahl bringt die Skill-Anweisungen in den Kontext der nächsten Anfrage. Schreibe weiterhin konkret, welches Ergebnis du möchtest. Ein Skill ersetzt diese Aufgabenbeschreibung nicht und ist nicht automatisch ein eigenständiger Agent.
/import|Arbeitsumgebung|Importiert unterstützte Inhalte aus Claude Code oder Cursor.|Mit /import öffnest du den Importdialog. Dort wählst du Claude Code oder Cursor und danach die angebotenen Einstellungen, Projektdateien oder Gespräche.\n\nDer Import übernimmt nur unterstützte Inhalte. Er steht in einer lokalen Terminal-Sitzung bereit, nicht während einer laufenden Aufgabe, in entfernten Sitzungen oder bei einer Verbindung zum lokalen App-Server-Dienst. Die Gesprächssuche berücksichtigt bis zu 50 Chats der letzten 30 Tage.
/feedback|Hilfe und Diagnose|Sendet Rückmeldungen und ausgewählte Diagnosedaten.|Mit /feedback öffnest du den Ablauf für eine Rückmeldung an die Codex-Verantwortlichen. Folge den Fragen und beschreibe möglichst genau, was passiert ist und was du erwartet hattest.\n\nIm Ablauf kannst du Protokolle oder Diagnosedaten einbeziehen. Beachte deshalb, welche Informationen versendet werden. Der Befehl ist für Produktfeedback gedacht und führt keine Fehlerkorrektur in deinem Projekt aus.
/init|Code und Projekt|Erstellt einen Entwurf für die Projektanweisungen.|Mit /init lässt du im aktuellen Verzeichnis eine AGENTS.md vorbereiten. Diese Datei enthält Hinweise, die Codex bei der Arbeit in deinem Projekt berücksichtigen soll.\n\nLies den Entwurf und passe ihn an dein tatsächliches Projekt an. Dort passen beispielsweise Build-Befehle, Verzeichnisregeln und besondere Anforderungen hinein. Eine gute AGENTS.md hält dauerhafte Regeln fest, statt die gesamte Projekthistorie zu wiederholen.
/logout|Konto|Meldet dich bei Codex ab.|Mit /logout entfernt Codex die lokalen Zugangsdaten der aktuellen Benutzeranmeldung. Das ist beispielsweise auf einem gemeinsam genutzten Rechner sinnvoll.\n\nFür weitere angemeldete Arbeit musst du dich danach erneut anmelden. Der Befehl beendet keine kostenpflichtigen Abonnements und löscht nicht automatisch dein Projekt. Abmelden und ein Gespräch mit /delete löschen sind verschiedene Aktionen.
/mcp|Erweiterungen|Zeigt die verfügbaren externen Werkzeuge.|MCP ist eine Schnittstelle, über die Codex externe Werkzeuge bereitgestellt bekommt. Mit /mcp kannst du nachsehen, welche Server und Werkzeuge in der Sitzung verfügbar sind.\n\nMit /mcp verbose bekommst du ausführlichere Angaben zu den Servern. Das hilft, wenn ein erwartetes Werkzeug fehlt. Die Anzeige ersetzt nicht die Einrichtung einer Verbindung und ruft selbst keine fachliche Aufgabe auf dem Server ab.
/mention|Kontext|Nimmt eine Datei gezielt in die Anfrage auf.|Mit /mention und einem Pfad weist du Codex gezielt auf eine Datei hin. Zum Beispiel kannst du /mention app/src/Main.kt eingeben und den passenden Treffer auswählen.\n\nDie Datei wird dem Gespräch als Bezug hinzugefügt. Schreibe danach, was Codex damit tun soll, etwa erklären, vergleichen oder ändern. Ein genauer Dateibezug ist hilfreicher als eine unklare Beschreibung wie „die Datei von vorhin“.
/model|Modell und Antworten|Wählt das Modell und gegebenenfalls seine Denktiefe.|Mit /model öffnest du die Auswahl der Modelle, die dir in der Sitzung zur Verfügung stehen. Je nach Modell kannst du auch die gewünschte Denktiefe auswählen.\n\nWähle das Modell passend zur Aufgabe und deinem verfügbaren Kontingent. Die angebotene Liste kann von Konto und Version abhängen. Mit /status kannst du anschließend nachsehen, welches Modell aktiv ist.
/fast|Modell und Antworten|Schaltet die schnelle Dienststufe des Modells um.|Mit /fast wechselst du die schnelle Dienststufe des aktuellen Modells ein oder aus. Die Auswahl wird gespeichert. Es handelt sich um eine Dienststufe, nicht um den Wechsel zu einem anderen Modell.\n\nDer Befehl erscheint nur, wenn der Modellkatalog diese Möglichkeit für das aktive Modell anbietet. Beachte die angezeigten Verbrauchsbedingungen. In der Fußzeile kannst du den Zustand über /statusline sichtbar machen.
/plan|Code und Projekt|Wechselt in den Planungsmodus.|Mit /plan lässt du eine Aufgabe zunächst planen. Du kannst einen Auftrag direkt anhängen, etwa /plan Plane die Umstellung der Datenbank.\n\nSo kannst du das Vorgehen besprechen, bevor die Umsetzung beginnt. Ein Plan allein ändert noch keine Projektdateien. Während Codex bereits arbeitet, ist der Wechsel per /plan vorübergehend nicht verfügbar.
/goal|Sitzung|Verwaltet ein dauerhaftes Ziel für die aktuelle Aufgabe.|Mit /goal und einer Zielbeschreibung gibst du Codex ein Ziel, das während längerer Arbeit am Gespräch hängen bleibt. Ohne Zusatz zeigt /goal das aktuelle Ziel.\n\nMit /goal edit bearbeitest du es. /goal pause pausiert, /goal resume setzt fort und /goal clear entfernt das Ziel. Die Beschreibung darf nicht leer sein und höchstens 4000 Zeichen enthalten. Ausführliche Anforderungen kannst du in einer referenzierten Datei ablegen.
/personality|Modell und Antworten|Ändert den Kommunikationsstil der Antworten.|Mit /personality wählst du, wie Codex mit dir kommuniziert. Dokumentiert sind friendly, pragmatic und none. Damit kannst du den Ton an deine Arbeitsweise anpassen.\n\nDie Auswahl verändert den Kommunikationsstil, nicht deine fachlichen Anforderungen an die Aufgabe. none deaktiviert die zusätzlichen Stilvorgaben. Wenn das Modell diese Funktion nicht unterstützt, wird der Befehl nicht angeboten.
/ps|Sitzung|Zeigt laufende Hintergrundterminals und deren Ausgabe.|Manche Shell-Befehle laufen im Hintergrund weiter, etwa ein längerer Build. Mit /ps siehst du die Hintergrundterminals der Sitzung und bis zu drei neuere, nicht leere Ausgabezeilen pro Terminal.\n\nDamit kannst du erkennen, ob noch Arbeit läuft. Ohne den entsprechenden Ausführungsmechanismus unified_exec kann die Liste leer sein. /ps beendet diese Prozesse nicht; dafür ist /stop vorgesehen.
/stop|Sitzung|Stoppt die Hintergrundterminals der Sitzung.|Mit /stop beendest du die Hintergrundterminals, die zur aktuellen Sitzung gehören. Falls Codex eine Bestätigung anzeigt, kannst du dort noch einmal die betroffenen Terminals ansehen.\n\nDer Befehl ist sinnvoll, wenn ein gestarteter Prozess nicht mehr gebraucht wird. Er nimmt keine bereits geschriebenen Dateien zurück. /clean ist weiterhin als alternative Schreibweise dokumentiert.
/fork|Sitzung|Erzeugt ein neues Gespräch aus dem bisherigen Verlauf.|Mit /fork verzweigst du das aktuelle Gespräch. Das neue Gespräch bekommt eine eigene Kennung und übernimmt den bisherigen Verlauf als Ausgangspunkt.\n\nDu kannst dadurch einen anderen Lösungsweg ausprobieren, während das Originalgespräch bestehen bleibt. Gemeinsame Projektdateien werden dadurch nicht automatisch getrennt. Für eine gespeicherte Sitzung bietet der Terminalbefehl codex fork eine Auswahl an.
/app|Arbeitsumgebung|Öffnet das aktuelle Gespräch in der Desktop-App.|Mit /app kannst du unter Windows oder macOS aus der Terminaloberfläche in die ChatGPT-Desktop-App wechseln. Dort wird dasselbe gespeicherte Gespräch geöffnet.\n\nDie Desktop-App muss verfügbar sein. Ist sie nicht installiert oder gestartet, zeigt Codex einen entsprechenden Fehler. Der Wechsel ist keine neue unabhängige Unterhaltung wie bei /fork.
/side|Sitzung|Öffnet ein kurzes Nebengespräch zur laufenden Arbeit.|Mit /side startest du ein vorübergehendes Nebengespräch aus dem aktuellen Kontext. Du kannst eine Frage direkt anhängen, zum Beispiel /side Erkläre mir kurz diesen Fachbegriff.\n\nDer Verlauf bleibt vom Hauptgespräch getrennt. Die Anzeige informiert weiterhin über den Zustand des Hauptgesprächs. Ein weiteres verschachteltes Nebengespräch und der Aufruf während des Review-Modus sind nicht verfügbar. /btw ist eine alternative Schreibweise.
/raw|Darstellung und Bedienung|Schaltet eine schlichtere Ausgabe zum Markieren und Kopieren ein.|Mit /raw wechselst du den Modus für die Terminalausgabe. /raw on schaltet ihn gezielt ein und /raw off wieder aus. Dadurch lassen sich längere Ausgaben unmittelbarer auswählen und kopieren.\n\nAls Tastenkürzel ist Alt+R dokumentiert. Für einen dauerhaften Standard kannst du tui.raw_output_mode = true in config.toml setzen. Der Modus verändert die Darstellung, nicht die Projektdateien.
/resume|Sitzung|Öffnet ein gespeichertes Gespräch zum Weiterarbeiten.|Mit /resume öffnest du die Auswahl gespeicherter Gespräche. Wähle die Sitzung, an der du weiterarbeiten möchtest. Codex lädt deren Verlauf.\n\nDas ist praktisch, wenn du eine Aufgabe am nächsten Tag fortsetzt. Gute Namen über /rename erleichtern das Wiederfinden. /new beginnt dagegen mit einem neuen Gespräch statt mit einem gespeicherten Verlauf.
/new|Sitzung|Beginnt ein neues Gespräch innerhalb der CLI.|Mit /new startest du einen frischen Chat, ohne die Codex CLI zu verlassen. Mit /new Anmeldung kannst du sofort einen Namen vergeben.\n\nIm Unterschied zu /clear wird die vorhandene Terminalansicht nicht zuerst geleert. Beide Befehle beginnen aber einen neuen Gesprächskontext. Nutze /resume, wenn du stattdessen einen früheren Chat fortsetzen möchtest.
/quit|Sitzung|Beendet die Terminaloberfläche von Codex.|Mit /quit verlässt du die Codex CLI. /exit ist eine gleichwertige alternative Schreibweise.\n\nSpeichere oder committe wichtige Änderungen vorher. Das Beenden allein veröffentlicht nichts und ersetzt keine Sicherung deiner Arbeit. Wenn du innerhalb der CLI zu einem neuen Thema wechseln willst, reicht /new.
/review|Code und Projekt|Lässt Codex die Änderungen im Projekt beurteilen.|Mit /review lässt du die Arbeitskopie auf mögliche Probleme untersuchen. Codex soll dabei insbesondere Verhaltensänderungen und fehlende Absicherung erkennen.\n\nAnschließend kannst du die betroffenen Änderungen mit /diff selbst ansehen. Standardmäßig wird das Sitzungsmodell verwendet; review_model in config.toml kann ein anderes vorgeben. Eine KI-Beurteilung ist kein Nachweis dafür, dass der Code tatsächlich gebaut oder ausgeführt wurde.
/status|Hilfe und Diagnose|Zeigt Modell, Berechtigungen und Kontextverbrauch.|Mit /status erhältst du eine Zusammenfassung der aktuellen Sitzung. Dazu gehören das aktive Modell, die Berechtigungen, schreibbare Bereiche und Informationen zum Tokenverbrauch.\n\nTokens sind die Einheiten, mit denen das Modell Text verarbeitet. Bei einer entfernten Verbindung werden auch Adresse und Serverversion angezeigt. Bestimmte Konten erhalten zusätzlich geschätzte Kosten- oder Verbrauchsangaben.
/usage|Konto|Zeigt den Kontoverbrauch und verfügbare Verbrauchsaktionen.|Mit /usage öffnest du das Verbrauchsmenü. /usage daily, /usage weekly und /usage cumulative rufen die jeweilige Ansicht direkt auf.\n\nJe nach Konto kann das Menü auch einen verfügbaren verdienten Reset anbieten. Diese Kontoansicht benötigt die passende Anmeldung am Codex-Dienst. /status ist dagegen für den Zustand der aktuellen Sitzung gedacht.
/debug-config|Hilfe und Diagnose|Erklärt die geladenen Konfigurationsebenen.|Wenn eine Einstellung anders wirkt als erwartet, zeigt /debug-config die beteiligten Konfigurationsebenen und Richtlinien. Du siehst dadurch, welche Quellen bei der endgültigen Einstellung mitwirken.\n\nDie Ausgabe führt die Ebenen von niedriger zu höherer Priorität auf. Vorgaben können unter anderem Berechtigungen, Sandbox, MCP und Netzwerk betreffen. Der Befehl diagnostiziert die Konfiguration und öffnet keinen allgemeinen Einstellungseditor.
/statusline|Darstellung und Bedienung|Passt die Informationen in der Fußzeile an.|Mit /statusline wählst du die Angaben für die Statuszeile der Terminaloberfläche. Du kannst Elemente ein- oder ausschalten und ihre Reihenfolge verändern.\n\nMögliche Angaben sind Modell, Kontext, Verbrauch, Git-Zweig und Sitzungskennung. Die bestätigte Auswahl wird sofort angezeigt und unter tui.status_line in config.toml gespeichert. Gemeint ist die Codex-Terminaloberfläche, nicht die Android-App.
/title|Darstellung und Bedienung|Legt den Titel des Terminalfensters oder Tabs fest.|Mit /title wählst und sortierst du die Informationen für den Terminaltitel. Beispielsweise kannst du Projekt, Git-Zweig, Modell oder Aufgabenfortschritt anzeigen lassen.\n\nNach der Bestätigung aktualisiert sich der Titel. Die Auswahl wird unter tui.terminal_title in config.toml gespeichert. Für die untere Statuszeile gibt es den separaten Befehl /statusline.
/theme|Darstellung und Bedienung|Wählt die Farben der Syntaxhervorhebung.|Mit /theme öffnest du eine Vorschau verfügbarer Farbschemata für die Terminaloberfläche. Wähle das Schema, bei dem du Code und Unterschiede gut lesen kannst.\n\nNach der Bestätigung speichert Codex die Auswahl unter tui.theme in config.toml. Diese Einstellung betrifft die Codex CLI. Hell- und Dunkelmodus von Codex Kompass stellst du weiterhin in dieser Android-App ein.
/pets|Darstellung und Bedienung|Wählt ein kleines Terminal-Haustier oder blendet es aus.|Mit /pets öffnest du die Auswahl der verfügbaren Terminal-Haustiere. Du kannst ein vorhandenes oder eigenes Tier auswählen oder die Anzeige abschalten.\n\nMit /pets off blendest du es direkt aus. /pet ist die alternative Schreibweise. Die Darstellung benötigt ein unterstütztes Terminal und verändert keine fachlichen Fähigkeiten des Modells.
/cd|Arbeitsumgebung|Wechselt das Arbeitsverzeichnis der Terminal-Sitzung.|Mit /cd kannst du das Arbeitsverzeichnis einer laufenden Codex-Terminal-Sitzung ändern. Der Befehl gehört zusammen mit /pwd und /cwd zur Verwaltung des aktuellen Verzeichnisses.\n\nDas offizielle Änderungsprotokoll nennt die Einführung in Version 0.149.0. Der Verzeichniswechsel hebt die geltenden Sandbox-Beschränkungen nicht auf. Die genaue Argumentführung kannst du dir von deiner installierten CLI anzeigen lassen.
/pwd|Arbeitsumgebung|Zeigt das aktuelle Arbeitsverzeichnis.|Mit /pwd kannst du dich über das Arbeitsverzeichnis deiner Codex-Terminal-Sitzung orientieren. So erkennst du, auf welches Projekt sich relative Pfade beziehen.\n\nDer Befehl wurde zusammen mit /cd und /cwd in Version 0.149.0 dokumentiert. Ein anderes Arbeitsverzeichnis und zusätzliche Zugriffsrechte sind getrennte Dinge. Zum Verzeichniswechsel ist /cd vorgesehen.
/cwd|Arbeitsumgebung|Gehört zur Verwaltung des Arbeitsverzeichnisses.|/cwd gehört zur Gruppe der Verzeichnisbefehle, die OpenAI mit Version 0.149.0 eingeführt hat. Das Änderungsprotokoll nennt ihn gemeinsam mit /cd und /pwd.\n\nDie herangezogene Übersicht erklärt keine eigene Argumentfolge für /cwd. Deshalb wird hier keine Syntax behauptet. Öffne den Befehl in deiner installierten CLI und nutze deren Hinweise für die angebotene Aktion.
/export|Sitzung|Exportiert das Gespräch als Markdown.|Mit /export kannst du ein vollständiges Gespräch aus der Terminaloberfläche als Markdown exportieren. Laut Änderungsprotokoll kannst du dafür die Zwischenablage oder eine neue Datei verwenden.\n\nMarkdown ist ein einfaches Textformat für Überschriften, Absätze und Code. Der Export eignet sich zum Nachlesen oder Weitergeben des Gesprächs. Achte vor einer Weitergabe auf vertrauliche Inhalte im Verlauf.
/recap|Kontext|Ruft eine kurze Zusammenfassung manuell ab.|Mit /recap kannst du eine Zusammenfassung manuell anfordern. Das offizielle Änderungsprotokoll bestätigt, dass dieser Aufruf auch verfügbar bleibt, wenn automatische Zusammenfassungen deaktiviert sind.\n\nDer zugehörige Schalter für automatische Rückblicke heißt tui.auto_recap. /recap solltest du nicht mit /compact gleichsetzen: Für das Freimachen von Kontext ist ausdrücklich /compact dokumentiert. Die Einführungsfassung von /recap ist in den herangezogenen Quellen nicht belegt.
